ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576868.611300631,0,0,0,0,0,0,0,0,0,0,0,0,420190010,379432052,0,0,0,0,0,0,0,0,0
1785576869.634151481,0,0,0,0,0,0,0,0,0,0,0,0,420193076,379435021,0,0,0,0,0,0,0,0,0
1785576870.656689523,0,0,0,0,0,0,0,0,0,0,0,0,420196144,379438074,0,0,0,0,0,0,0,0,0
1785576871.677293200,0,0,0,0,0,0,0,0,0,0,0,0,420199207,379441117,0,0,0,0,0,0,0,0,0
1785576872.700939287,0,0,0,0,0,0,0,0,0,0,0,0,420202273,379444108,0,0,0,0,0,0,0,0,0
1785576873.723309417,0,0,0,0,0,0,0,0,0,0,0,0,420205338,379447160,0,0,0,0,0,0,0,0,0
1785576874.744454289,0,0,0,0,0,0,0,0,0,0,0,0,420208401,379450181,0,0,0,0,0,0,0,0,0
1785576875.766261646,0,0,0,0,0,0,0,0,0,0,0,0,420211464,379453189,0,0,0,0,0,0,0,0,0
1785576876.788779779,0,0,0,0,0,0,0,0,0,0,0,0,420214531,379456241,0,0,0,0,0,0,0,0,0
1785576877.811171283,0,0,0,0,0,0,0,0,0,0,0,0,420217597,379459262,0,0,0,0,0,0,0,0,0
1785576878.833229747,0,0,0,0,0,0,0,0,0,0,0,0,420220662,379462271,0,0,0,0,0,0,0,0,0
1785576879.854843223,0,0,0,0,0,0,0,0,0,0,0,0,420223726,379465301,0,0,0,0,0,0,0,0,0
1785576880.875306123,0,0,0,0,0,0,0,0,0,0,0,0,420226786,379468298,0,0,0,0,0,0,0,0,0
1785576881.896818359,0,0,0,0,0,0,0,0,0,0,0,0,420229848,379471325,0,0,0,0,0,0,0,0,0
1785576882.917392244,0,0,0,0,0,0,0,0,0,0,0,0,420232909,379474371,0,0,0,0,0,0,0,0,0
1785576883.937777088,0,0,0,0,0,0,0,0,0,0,0,0,420235968,379477371,0,0,0,0,0,0,0,0,0
1785576884.961326883,0,0,0,0,0,0,0,0,0,0,0,0,420239037,379480403,0,0,0,0,0,0,0,0,0
1785576885.983958030,0,0,0,0,0,0,0,0,0,0,0,0,420242105,379483455,0,0,0,0,0,0,0,0,0
1785576887.005653762,0,0,0,0,0,0,0,0,0,0,0,0,420245168,379486439,0,0,0,0,0,0,0,0,0
1785576888.027341925,0,0,0,0,0,0,0,0,0,0,0,0,420248231,379489484,0,0,0,0,0,0,0,0,0
1785576889.049685800,0,0,0,0,0,0,0,0,0,0,0,0,420251295,379492534,0,0,0,0,0,0,0,0,0
1785576890.070795303,0,0,0,0,0,0,0,0,0,0,0,0,420254356,379495493,0,0,0,0,0,0,0,0,0
1785576891.093748194,0,0,0,0,0,0,0,0,0,0,0,0,420257425,379498545,0,0,0,0,0,0,0,0,0
1785576892.114956646,0,0,0,0,0,0,0,0,0,0,0,0,420260488,379501588,0,0,0,0,0,0,0,0,0
