cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
SF3-D24-SET	2026-08-06T11:54:18Z	2026-08-06T11:57:18Z	256	1:0	180	5.974	5.06057	5.05500	7.64700	11.83900
SF3-D32-GET	2026-08-06T11:58:10Z	2026-08-06T12:01:10Z	256	0:1	180	13.346	2.23625	2.15900	3.98300	7.13500
SF3-D32-MIX	2026-08-06T12:01:38Z	2026-08-06T12:04:38Z	256	1:9	180	10.930	2.75378	2.65500	4.70300	8.06300
SF3-D32-SET	2026-08-06T12:05:05Z	2026-08-06T12:08:05Z	256	1:0	180	5.969	5.06531	5.08700	7.55100	11.90300
SF3-D48-GET	2026-08-06T12:09:20Z	2026-08-06T12:12:20Z	256	0:1	180	12.790	2.34854	2.25500	4.15900	7.35900
SF3-D48-MIX	2026-08-06T12:12:48Z	2026-08-06T12:15:48Z	256	1:9	180	10.671	2.83264	2.75100	4.92700	8.19100
SF3-D48-SET	2026-08-06T12:16:15Z	2026-08-06T12:19:15Z	256	1:0	180	5.725	5.28963	4.83100	10.11100	14.20700
SF3-D64-GET	2026-08-06T12:20:37Z	2026-08-06T12:23:37Z	256	0:1	180	12.492	2.41294	2.31900	4.38300	7.61500
SF3-D64-MIX	2026-08-06T12:24:05Z	2026-08-06T12:27:05Z	256	1:9	180	10.452	2.89948	2.78300	5.02300	8.38300
SF3-D64-SET	2026-08-06T12:27:32Z	2026-08-06T12:30:32Z	256	1:0	180	5.592	5.43436	4.38300	9.40700	14.14300
SF3-D96-GET	2026-08-06T12:31:12Z	2026-08-06T12:34:12Z	256	0:1	180	11.998	2.52347	2.41500	4.54300	7.87100
SF3-D96-MIX	2026-08-06T12:34:39Z	2026-08-06T12:37:39Z	256	1:9	180	10.104	3.00970	2.84700	5.40700	8.95900
SF3-D96-SET	2026-08-06T12:38:07Z	2026-08-06T12:41:07Z	256	1:0	180	5.468	5.57329	5.88700	8.38300	12.60700
SF3-D128-GET	2026-08-06T12:42:33Z	2026-08-06T12:45:33Z	256	0:1	180	11.469	2.64611	2.52700	4.83100	8.19100
SF3-D128-MIX	2026-08-06T12:46:01Z	2026-08-06T12:49:01Z	256	1:9	180	9.657	3.15263	2.95900	5.95100	9.47100
SF3-D128-SET	2026-08-06T12:49:28Z	2026-08-06T12:52:28Z	256	1:0	180	5.297	5.76399	5.08700	8.89500	13.37500
SF3-C1-GET	2026-08-06T12:53:59Z	2026-08-06T12:56:59Z	256	0:1	180	10.865	2.78840	2.59100	5.18300	8.70300
SF3-C1-MIX	2026-08-06T12:57:27Z	2026-08-06T13:00:27Z	256	1:9	180	9.333	3.25193	3.07100	5.91900	9.59900
SF3-C1-SET	2026-08-06T13:00:54Z	2026-08-06T13:03:54Z	256	1:0	180	5.629	5.39806	4.44700	9.40700	14.07900
SF3-C5-GET	2026-08-06T14:40:29Z	2026-08-06T14:43:29Z	256	0:1	180	12.466	2.41872	2.33500	4.28700	7.51900
SF3-C5-MIX	2026-08-06T14:43:56Z	2026-08-06T14:46:56Z	256	1:9	180	10.352	2.92814	2.84700	5.02300	8.31900
SF3-C5-SET	2026-08-06T14:47:24Z	2026-08-06T14:50:24Z	256	1:0	180	5.631	5.39638	4.41500	9.27900	13.82300
SF3-C6-GET	2026-08-06T14:52:06Z	2026-08-06T14:55:06Z	256	0:1	180	12.463	2.41808	2.33500	4.35100	7.48700
SF3-C6-MIX	2026-08-06T14:55:34Z	2026-08-06T14:58:34Z	256	1:9	180	10.384	2.91885	2.83100	5.05500	8.44700
SF3-C6-SET	2026-08-06T14:59:01Z	2026-08-06T15:02:01Z	256	1:0	180	5.598	5.42828	4.41500	9.40700	14.01500
SF3-C7-GET	2026-08-06T15:03:17Z	2026-08-06T15:06:17Z	256	0:1	180	12.350	2.44163	2.35100	4.35100	7.45500
SF3-C7-MIX	2026-08-06T15:06:45Z	2026-08-06T15:09:45Z	256	1:9	180	10.283	2.94780	2.86300	5.08700	8.31900
SF3-C7-SET	2026-08-06T15:10:12Z	2026-08-06T15:13:12Z	256	1:0	180	5.610	5.41665	4.44700	9.40700	13.95100
SF3-C8-GET	2026-08-06T15:15:06Z	2026-08-06T15:18:06Z	256	0:1	180	12.806	2.35187	2.27100	4.15900	7.19900
SF3-C8-MIX	2026-08-06T15:18:33Z	2026-08-06T15:21:34Z	256	1:9	180	10.610	2.85598	2.76700	4.99100	8.15900
SF3-C8-SET	2026-08-06T15:22:02Z	2026-08-06T15:25:02Z	256	1:0	180	5.650	5.37824	4.41500	9.27900	13.82300
SF3-C9-GET	2026-08-06T15:26:18Z	2026-08-06T15:29:18Z	256	0:1	180	12.731	2.36556	2.28700	4.12700	7.42300
SF3-C9-MIX	2026-08-06T15:29:45Z	2026-08-06T15:32:46Z	256	1:9	180	10.606	2.85717	2.76700	4.89500	8.15900
SF3-C9-SET	2026-08-06T15:33:13Z	2026-08-06T15:36:13Z	256	1:0	180	5.614	5.41290	4.41500	9.34300	14.07900
SF3-C10-GET	2026-08-06T15:38:01Z	2026-08-06T15:41:01Z	256	0:1	180	12.934	2.32805	2.25500	4.12700	7.19900
SF3-C10-MIX	2026-08-06T15:41:29Z	2026-08-06T15:44:29Z	256	1:9	180	10.664	2.84124	2.76700	4.86300	8.09500
SF3-C10-SET	2026-08-06T15:44:56Z	2026-08-06T15:47:56Z	256	1:0	180	5.639	5.38842	4.47900	9.27900	13.75900
SF3-C11-GET	2026-08-06T15:49:17Z	2026-08-06T15:52:17Z	256	0:1	180	12.676	2.37699	2.28700	4.25500	7.42300
SF3-C11-MIX	2026-08-06T15:52:45Z	2026-08-06T15:55:45Z	256	1:9	180	10.548	2.87286	2.78300	4.92700	8.31900
SF3-C11-SET	2026-08-06T15:56:12Z	2026-08-06T15:59:12Z	256	1:0	180	5.603	5.42311	4.41500	9.34300	13.95100
SF3-C12-GET	2026-08-06T16:00:58Z	2026-08-06T16:03:59Z	256	0:1	180	12.818	2.35039	2.27100	4.12700	7.19900
SF3-C12-MIX	2026-08-06T16:04:26Z	2026-08-06T16:07:26Z	256	1:9	180	10.619	2.85334	2.76700	4.86300	8.09500
SF3-C12-SET	2026-08-06T16:07:53Z	2026-08-06T16:10:53Z	256	1:0	180	5.654	5.37385	4.41500	9.21500	13.56700
SF3-C13-GET	2026-08-06T16:12:13Z	2026-08-06T16:15:13Z	256	0:1	180	12.813	2.35078	2.25500	4.51100	7.45500
SF3-C13-MIX	2026-08-06T16:15:41Z	2026-08-06T16:18:41Z	256	1:9	180	10.620	2.85317	2.76700	4.86300	8.06300
SF3-C13-SET	2026-08-06T16:19:08Z	2026-08-06T16:22:08Z	256	1:0	180	5.626	5.40086	4.54300	10.11100	13.82300
SF3-C14-GET	2026-08-06T16:23:38Z	2026-08-06T16:26:38Z	256	0:1	180	12.805	2.35124	2.27100	4.19100	7.42300
SF3-C14-MIX	2026-08-06T16:27:05Z	2026-08-06T16:30:05Z	256	1:9	180	10.690	2.83404	2.75100	4.86300	8.12700
SF3-C14-SET	2026-08-06T16:30:33Z	2026-08-06T16:33:33Z	256	1:0	180	5.667	5.36199	4.44700	9.21500	13.82300
SF3-C15-GET	2026-08-06T16:35:14Z	2026-08-06T16:38:14Z	256	0:1	180	12.721	2.36871	2.28700	4.15900	7.35900
SF3-C15-MIX	2026-08-06T16:38:41Z	2026-08-06T16:41:41Z	256	1:9	180	10.587	2.86215	2.78300	4.89500	8.25500
SF3-C15-SET	2026-08-06T16:42:08Z	2026-08-06T16:45:09Z	256	1:0	180	5.603	5.42297	4.38300	9.27900	13.75900
SF3-C16-GET	2026-08-06T16:46:27Z	2026-08-06T16:49:27Z	256	0:1	180	12.829	2.34786	2.27100	4.09500	7.26300
SF3-C16-MIX	2026-08-06T16:49:54Z	2026-08-06T16:52:54Z	256	1:9	180	10.667	2.84046	2.76700	4.86300	8.06300
SF3-C16-SET	2026-08-06T16:53:21Z	2026-08-06T16:56:21Z	256	1:0	180	5.647	5.38104	4.41500	9.27900	13.75900
SF3-Q1-GET	2026-08-06T16:57:54Z	2026-08-06T17:00:54Z	256	0:1	180	13.096	2.29755	2.22300	4.07900	7.19900
SF3-Q1-MIX	2026-08-06T17:01:22Z	2026-08-06T17:04:22Z	256	1:9	180	10.817	2.80025	2.73500	4.79900	7.90300
SF3-Q1-SET	2026-08-06T17:04:49Z	2026-08-06T17:07:49Z	256	1:0	180	5.773	5.26281	4.38300	9.08700	13.50300
SF3-Q2-GET	2026-08-06T17:09:25Z	2026-08-06T17:12:25Z	256	0:1	180	12.975	2.32038	2.23900	4.12700	7.13500
SF3-Q2-MIX	2026-08-06T17:12:53Z	2026-08-06T17:15:53Z	256	1:9	180	10.711	2.82780	2.73500	4.92700	8.03100
SF3-Q2-SET	2026-08-06T17:16:20Z	2026-08-06T17:19:20Z	256	1:0	180	5.731	5.30083	4.38300	9.02300	13.56700
SF3-Q4-GET	2026-08-06T17:20:46Z	2026-08-06T17:23:46Z	256	0:1	180	12.758	2.36108	2.28700	4.09500	7.26300
SF3-Q4-MIX	2026-08-06T17:24:13Z	2026-08-06T17:27:13Z	256	1:9	180	10.611	2.85562	2.75100	4.99100	8.25500
SF3-Q4-SET	2026-08-06T17:27:41Z	2026-08-06T17:30:41Z	256	1:0	180	5.630	5.39761	4.41500	9.27900	13.75900
SF3-Q16-GET	2026-08-06T18:10:13Z	2026-08-06T18:13:13Z	256	0:1	180	12.403	2.43121	2.35100	4.31900	7.58300
SF3-Q16-MIX	2026-08-06T18:13:41Z	2026-08-06T18:16:41Z	256	1:9	180	10.376	2.92075	2.81500	5.05500	8.44700
SF3-Q16-SET	2026-08-06T18:17:08Z	2026-08-06T18:20:08Z	256	1:0	180	5.650	5.37745	4.38300	9.40700	14.07900
SF3-O1-GET	2026-08-06T18:21:30Z	2026-08-06T18:24:30Z	256	0:1	180	9.698	3.12964	2.51100	5.50300	9.27900
SF3-O1-MIX	2026-08-06T18:24:58Z	2026-08-06T18:27:58Z	256	1:9	180	8.902	3.41083	3.35900	5.63100	9.21500
SF3-O1-SET	2026-08-06T18:28:25Z	2026-08-06T18:31:25Z	256	1:0	180	5.678	5.35116	4.31900	9.15100	13.95100
SF3-O2-GET	2026-08-06T18:32:44Z	2026-08-06T18:35:44Z	256	0:1	180	12.092	2.49511	2.43100	4.31900	7.39100
SF3-O2-MIX	2026-08-06T18:36:12Z	2026-08-06T18:39:12Z	256	1:9	180	10.090	3.00486	2.95900	5.02300	8.31900
SF3-O2-SET	2026-08-06T18:39:39Z	2026-08-06T18:42:39Z	256	1:0	180	5.756	5.27857	4.35100	9.02300	13.56700
SF3-O4-GET	2026-08-06T18:44:08Z	2026-08-06T18:47:08Z	256	0:1	180	12.806	2.35167	2.30300	4.12700	7.16700
SF3-O4-MIX	2026-08-06T18:47:35Z	2026-08-06T18:50:36Z	256	1:9	180	10.594	2.86035	2.84700	4.76700	7.90300
SF3-O4-SET	2026-08-06T18:51:03Z	2026-08-06T18:54:03Z	256	1:0	180	5.734	5.29883	4.67100	9.08700	13.43900
