ts,ops,mlx5_comp,other_irq,total_irq
1785630034.405100833,390343769,3054614491,1274213362,4328827853
1785630035.429309533,390343769,3054614491,1274217070,4328831561
1785630036.450889787,390343769,3054614491,1274219180,4328833671
1785630037.473799098,390343769,3054614491,1274221365,4328835856
1785630038.497652862,390343769,3054614491,1274228891,4328843382
1785630039.521721815,390343769,3054614491,1274233446,4328847937
1785630040.545368336,390343769,3054614491,1274239044,4328853535
1785630041.569450268,390343769,3054614491,1274242544,4328857035
1785630042.593065583,390343769,3054614491,1274244257,4328858748
1785630043.616274580,390343769,3054614491,1274248553,4328863044
1785630044.638174639,390343769,3054614491,1274253992,4328868483
1785630045.660411703,390343769,3054614491,1274261040,4328875531
1785630046.682113990,390343769,3054614491,1274264676,4328879167
1785630047.705838725,390343769,3054614491,1274266992,4328881483
1785630048.729981728,390343769,3054614491,1274268811,4328883302
1785630049.751431790,390343769,3054614491,1274274641,4328889132
1785630050.775107685,390343769,3054614491,1274278625,4328893116
1785630051.798771160,390343769,3054614491,1274286628,4328901119
1785630052.822655355,390343769,3054614491,1274288721,4328903212
1785630053.847003154,390343769,3054614491,1274290886,4328905377
1785630054.868147376,390343769,3054614491,1274292805,4328907296
1785630055.889999331,390343769,3054614491,1274301344,4328915835
1785630056.912984746,390343769,3054614491,1274306516,4328921007
1785630057.937414040,390343769,3054614491,1274313703,4328928194
1785630058.960795347,390343769,3054614491,1274315820,4328930311
1785630059.982938974,390343769,3054614491,1274317576,4328932067
1785630061.005864446,390343769,3054614491,1274319984,4328934475
1785630062.027744681,390343769,3054614491,1274326017,4328940508
1785630063.050143133,390343769,3054614491,1274331760,4328946251
1785630064.074280024,390343769,3054614491,1274337528,4328952019
1785630065.098943735,390343769,3054614491,1274339912,4328954403
1785630066.124213426,390343769,3054614491,1274343917,4328958408
1785630067.147717621,390343769,3054614491,1274346223,4328960714
1785630068.173168411,390343769,3054614491,1274353813,4328968304
1785630069.196016333,390343769,3054614491,1274359834,4328974325
1785630070.220445593,390343769,3054614491,1274363599,4328978090
1785630071.245330305,390343769,3054614491,1274365871,4328980362
1785630072.267692306,390343769,3054614491,1274367431,4328981922
1785630073.290571529,390343769,3054614491,1274370702,4328985193
1785630074.313293703,390343769,3054614491,1274377519,4328992010
1785630075.334995644,390343769,3054614491,1274384966,4328999457
1785630076.357830355,390343769,3054614491,1274388286,4329002777
1785630077.380279375,390343769,3054614491,1274390270,4329004761
1785630078.401105293,390343769,3054614491,1274391814,4329006305
1785630079.424340628,390343769,3054614491,1274394825,4329009316
1785630080.448163938,390343769,3054614491,1274401480,4329015971
1785630081.470660699,390343769,3054614491,1274408424,4329022915
1785630082.492784984,390343769,3054614491,1274410126,4329024617
1785630083.515433340,390343769,3054614491,1274412313,4329026804
1785630084.538016799,390343769,3054614491,1274414361,4329028852
1785630085.560043919,390343769,3054614491,1274419092,4329033583
1785630086.580165133,390343769,3054614491,1274429041,4329043532
1785630087.603144640,390343769,3054614491,1274435113,4329049604
1785630088.626538999,390343769,3054614491,1274436883,4329051374
1785630089.649216999,390343769,3054614491,1274439003,4329053494
1785630090.672247267,390343769,3054614493,1274440695,4329055188
1785630091.695361590,390343769,3054614493,1274446361,4329060854
1785630092.717662298,390343769,3054614493,1274453543,4329068036
1785630093.739814520,390343769,3054614493,1274457486,4329071979
1785630094.762171579,390343769,3054614493,1274458974,4329073467
1785630095.784393583,390343769,3054614493,1274460954,4329075447
1785630096.807381187,390343769,3054614493,1274464720,4329079213
1785630097.830044120,390343769,3054614493,1274471618,4329086111
1785630098.852566859,390343769,3054614493,1274478577,4329093070
1785630099.876471734,390343769,3054614493,1274480835,4329095328
1785630100.901302419,390343769,3054614493,1274482385,4329096878
1785630101.924153006,390343769,3054614493,1274484648,4329099141
1785630102.948330235,390343769,3054614493,1274486794,4329101287
1785630103.971537044,390343769,3054614493,1274495191,4329109684
1785630104.994812845,390343769,3054614493,1274502434,4329116927
1785630106.018065039,390343772,3054614500,1274504637,4329119137
1785630107.042185936,390343772,3054614510,1274508436,4329122946
1785630108.065052004,391994324,3054893216,1274553365,4329446581
1785630109.087754316,395479443,3055447032,1274644128,4330091160
1785630110.108386734,398905418,3056008298,1274735485,4330743783
1785630111.128715015,402364352,3056570134,1274826563,4331396697
1785630112.151311782,405895118,3057132412,1274916815,4332049227
1785630113.172619311,409411072,3057696578,1275006810,4332703388
1785630114.194001749,412905295,3058268932,1275095384,4333364316
1785630115.213067845,416350290,3058827927,1275186160,4334014087
1785630116.235431686,419767990,3059384004,1275276127,4334660131
1785630117.255809099,423216029,3059935989,1275367125,4335303114
1785630118.278094717,426702051,3060495093,1275456994,4335952087
1785630119.299675425,430201636,3061058656,1275546683,4336605339
1785630120.322431858,433698245,3061632412,1275636608,4337269020
1785630121.342850135,437121377,3062185840,1275727946,4337913786
1785630122.363420480,440572277,3062750495,1275817779,4338568274
1785630123.385143294,444028247,3063308970,1275908570,4339217540
1785630124.408057677,447543127,3063874063,1275998941,4339873004
1785630125.429821439,451007282,3064430834,1276088665,4340519499
1785630126.455495706,454493388,3064991323,1276178386,4341169709
1785630127.476784561,457907240,3065547221,1276269149,4341816370
1785630128.499033937,461362709,3066111821,1276358482,4342470303
1785630129.522261011,464837095,3066670143,1276448557,4343118700
1785630130.543984414,468330491,3067219028,1276538141,4343757169
1785630131.565004097,471835625,3067797600,1276627529,4344425129
1785630132.586641177,475307330,3068366427,1276718501,4345084928
1785630133.606883639,478737920,3068927047,1276809061,4345736108
1785630134.629145433,482187289,3069486486,1276899012,4346385498
1785630135.651433466,485688380,3070054254,1276988198,4347042452
1785630136.671418035,489169725,3070612915,1277079347,4347692262
1785630137.691714441,492625573,3071176290,1277168324,4348344614
1785630138.715382883,496071047,3071738899,1277259740,4348998639
1785630139.735484182,499535670,3072291166,1277349547,4349640713
1785630140.757826678,503000875,3072857765,1277440268,4350298033
1785630141.779253225,506478516,3073423731,1277529731,4350953462
1785630142.799416293,509962711,3073990199,1277619038,4351609237
1785630143.819057914,513463179,3074552608,1277707919,4352260527
1785630144.840033299,516872859,3075115922,1277799990,4352915912
1785630145.860483131,520336547,3075676237,1277890140,4353566377
1785630146.881854167,523754032,3076234177,1277981221,4354215398
1785630147.902354453,527249767,3076800316,1278070787,4354871103
1785630148.923041056,530716526,3077360531,1278161777,4355522308
1785630149.942150438,534150657,3077917160,1278252133,4356169293
1785630150.963136458,537584558,3078474194,1278342931,4356817125
1785630151.986501882,541020803,3079024236,1278434233,4357458469
1785630153.007416121,544523939,3079600436,1278523858,4358124294
1785630154.027405869,547982677,3080163839,1278614498,4358778337
1785630155.050215964,551471289,3080730186,1278705097,4359435283
1785630156.073691486,554941822,3081286653,1278795936,4360082589
1785630157.095015595,558409203,3081848746,1278887078,4360735824
1785630158.114763092,561823910,3082410496,1278978732,4361389228
1785630159.135441486,565294078,3082966133,1279068885,4362035018
1785630160.154714748,568777641,3083533168,1279158668,4362691836
1785630161.177231562,572246778,3084097760,1279248091,4363345851
1785630162.197841438,575689153,3084664730,1279338840,4364003570
1785630163.220506272,579142174,3085225815,1279428973,4364654788
1785630164.241874555,582548514,3085789941,1279521330,4365311271
1785630165.264685233,586021249,3086340641,1279612437,4365953078
1785630166.286125972,589498607,3086905760,1279701847,4366607607
1785630167.307991978,592965073,3087469465,1279791067,4367260532
1785630168.329645843,596392812,3088027241,1279882279,4367909520
1785630169.350513465,599814554,3088579832,1279974116,4368553948
1785630170.370782397,603231524,3089136189,1280064545,4369200734
1785630171.392880284,606700506,3089701680,1280154060,4369855740
1785630172.414616157,610185330,3090259006,1280244884,4370503890
1785630173.436650606,613657146,3090825166,1280333796,4371158962
1785630174.459124624,617101281,3091389157,1280424671,4371813828
1785630175.478719445,620541821,3091954959,1280515352,4372470311
1785630176.502502457,623996886,3092505354,1280607008,4373112362
1785630177.527115634,627466376,3093065089,1280698277,4373763366
1785630178.547695610,630949644,3093632939,1280787473,4374420412
1785630179.571673791,634372960,3094183773,1280875975,4375059748
1785630180.593080205,637811663,3094746730,1280967464,4375714194
1785630181.612661305,641207912,3095309755,1281057404,4376367159
1785630182.634554627,644680464,3095879878,1281146693,4377026571
1785630183.655974378,648174475,3096447232,1281235701,4377682933
1785630184.675444106,651641827,3097013276,1281325792,4378339068
1785630185.698480020,655090014,3097577863,1281415875,4378993738
1785630186.722760984,658526252,3098123361,1281508236,4379631597
1785630187.746091229,661962473,3098687384,1281599695,4380287079
1785630188.766669626,665445229,3099257365,1281689691,4380947056
1785630189.789289009,668884700,3099813328,1281779952,4381593280
1785630190.811066986,672333509,3100375522,1281868737,4382244259
1785630191.830388030,675767090,3100931252,1281958371,4382889623
1785630192.851300312,679177812,3101482846,1282049135,4383531981
1785630193.872346335,682598945,3102044522,1282139557,4384184079
1785630194.894711087,686070227,3102609248,1282229168,4384838416
1785630195.916029465,689536489,3103172762,1282318665,4385491427
1785630196.936413348,693013758,3103741887,1282409948,4386151835
1785630197.957431726,695092772,3104080140,1282466638,4386546778
1785630198.979755028,695092772,3104080140,1282472451,4386552591
1785630200.003527948,695092772,3104080140,1282477648,4386557788
1785630201.027811345,695092772,3104080140,1282480206,4386560346
1785630202.051378883,695092772,3104080140,1282481997,4386562137
1785630203.074181451,695092772,3104080140,1282485201,4386565341
1785630204.097206783,695092772,3104080140,1282491481,4386571621
1785630205.118956275,695092772,3104080140,1282498217,4386578357
1785630206.139362758,695092772,3104080140,1282501250,4386581390
1785630207.162398801,695092772,3104080140,1282502955,4386583095
1785630208.185741483,695092772,3104080140,1282504709,4386584849
1785630209.209363423,695092772,3104080140,1282509059,4386589199
1785630210.228978661,695092772,3104080140,1282514747,4386594887
1785630211.247915447,695092772,3104080140,1282523599,4386603739
1785630212.270011430,695092772,3104080140,1282527504,4386607644
1785630213.293765633,695092772,3104080140,1282529681,4386609821
1785630214.317329319,695092772,3104080140,1282531308,4386611448
1785630215.340661714,695092772,3104080140,1282536851,4386616991
1785630216.362742848,695092772,3104080140,1282542380,4386622520
1785630217.385838906,695092772,3104080140,1282548010,4386628150
1785630218.409338730,695092772,3104080140,1282549642,4386629782
1785630219.433008369,695092772,3104080140,1282551542,4386631682
1785630220.457935091,695092772,3104080140,1282553566,4386633706
1785630221.481369551,695092772,3104080140,1282563030,4386643170
1785630222.504434896,695092772,3104080140,1282567797,4386647937
1785630223.528250706,695092772,3104080140,1282572558,4386652698
1785630224.551657531,695092772,3104080140,1282574743,4386654883
1785630225.575516753,695092772,3104080140,1282576877,4386657017
1785630226.597676018,695092772,3104080140,1282579046,4386659186
1785630227.617768951,695092772,3104080140,1282586417,4386666557
1785630228.640657010,695092772,3104080140,1282592461,4386672601
1785630229.664830919,695092772,3104080140,1282597151,4386677291
1785630230.690032662,695092772,3104080140,1282599030,4386679170
1785630231.712467665,695092772,3104080140,1282602506,4386682646
1785630232.735872585,695092772,3104080140,1282606234,4386686374
1785630233.757998922,695092772,3104080140,1282611277,4386691417
1785630234.781551923,695092772,3104080140,1282617967,4386698107
1785630235.805448164,695092772,3104080140,1282619596,4386699736
1785630236.829681526,695092772,3104080140,1282621266,4386701406
1785630237.853549061,695092772,3104080140,1282623141,4386703281
1785630238.876273243,695092772,3104080140,1282628411,4386708551
1785630239.895381687,695092772,3104080140,1282632812,4386712952
1785630240.917035844,695092772,3104080140,1282639260,4386719400
1785630241.941134393,695092772,3104080140,1282642675,4386722815
1785630242.964747052,695092772,3104080140,1282644716,4386724856
1785630243.988677325,695092772,3104080140,1282646652,4386726792
1785630245.011694015,695092772,3104080140,1282654445,4386734585
1785630246.034741018,695092772,3104080140,1282658598,4386738738
1785630247.059565700,695092772,3104080140,1282664681,4386744821
1785630248.083466964,695092772,3104080140,1282667393,4386747533
