ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785573868.742772394,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411213921,372049170,75301762,43650,188900,0,0,0,25871,0,0
1785573869.766022529,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411216987,372052155,75301762,43650,188900,0,0,0,25871,0,0
1785573870.790095319,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411220056,372055206,75301762,43650,188900,0,0,0,25871,0,0
1785573871.812340386,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411223122,372058232,75301762,43650,188900,0,0,0,25871,0,0
1785573872.835415010,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411226188,372061191,75301762,43650,188900,0,0,0,25871,0,0
1785573873.859148593,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411229258,372064245,75301762,43650,188900,0,0,0,25871,0,0
1785573874.881502236,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411232325,372067292,75301762,43650,188900,0,0,0,25871,0,0
1785573875.903389238,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411235391,372070280,75301762,43650,188900,0,0,0,25871,0,0
1785573876.922857335,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411238455,372073327,75301762,43650,188900,0,0,0,25871,0,0
1785573877.940139601,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411241501,372076338,75301762,43650,188900,0,0,0,25871,0,0
1785573878.962127527,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411244568,372079345,75301762,43650,188900,0,0,0,25871,0,0
1785573879.983588163,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411247632,372082394,75301762,43650,188900,0,0,0,25871,0,0
1785573881.005005004,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411250697,372085418,75301762,43650,188900,0,0,0,25871,0,0
