cell	ops_M	avg_ms	p50_ms	p99_ms	p999_ms
BD3-GET-P1	0.576	0.20640	0.18300	0.56700	0.94300
BD3-GET-P8	3.437	0.26945	0.21500	0.96700	1.53500
BD3-GET-P32	7.787	0.46445	0.38300	1.69500	2.86300
BD3-GET-P64	9.671	0.75269	0.71100	2.25500	4.63900
BD3-GET-P128	11.625	1.27664	1.25500	2.43100	5.53500
BD3-GET-P256	11.923	2.53178	2.54300	3.75900	7.19900
BD3-GET-P384	11.025	4.13939	4.19100	5.95100	11.26300
BD3-MIX-P1	0.565	0.21045	0.18300	0.58300	0.94300
BD3-MIX-P8	3.233	0.28771	0.23100	1.06300	1.73500
BD3-MIX-P32	6.817	0.53669	0.44700	1.86300	3.05500
BD3-MIX-P64	8.206	0.89784	0.84700	2.75100	4.89500
BD3-MIX-P128	9.743	1.53856	1.52700	2.38300	5.53500
BD3-MIX-P256	9.843	3.08139	3.08700	4.54300	8.03100
BD3-MIX-P384	8.046	5.68203	4.99100	10.94300	15.99900
ST-C-P128	14.001	1.04397	0.94300	3.19900	4.83100
ST-C-P256	15.372	1.94599	1.88700	4.83100	6.65500
ST-C-P384	15.918	2.84367	2.83100	6.55900	9.15100
ST-B-P1	0.607	0.19543	0.18300	0.48700	0.73500
ST-B-P8	3.597	0.25671	0.21500	0.77500	1.12700
ST-B-P32	7.434	0.48938	0.44700	1.26300	1.72700
ST-B-P64	7.907	0.93742	0.85500	2.22300	2.89500
ST-B-P128	9.242	1.62373	1.43900	3.56700	4.54300
ST-B-P256	9.471	3.20480	2.73500	6.52700	7.99900
ST-B-P384	9.744	4.68846	4.07900	9.98300	12.54300
ST-A-P1	0.467	0.25540	0.21500	0.76700	1.07900
ST-A-P8	1.000	0.95012	0.88700	2.03100	2.51100
ST-A-P32	1.148	3.31210	2.78300	6.62300	7.67900
ST-A-P64	1.174	6.47845	5.43900	12.79900	14.59100
ST-A-P128	1.161	13.15998	11.19900	26.23900	30.20700
ST-A-P256	1.198	26.22572	24.31900	54.78300	60.67100
ST-A-P384	1.168	39.34486	35.32700	79.87100	92.67100
ST-C-Z256	13.125	2.29091	2.15900	4.67100	6.14300
ST-B-Z256	6.540	4.65347	4.47900	8.57500	10.23900
ST-A-Z256	1.100	27.84184	25.47100	55.80700	62.97500
ST-S-P1	0.322	0.37197	0.35100	0.97500	1.33500
ST-S-P8	0.568	1.68242	1.49500	3.53500	4.47900
ST-S-P32	0.622	6.14911	5.21500	12.47900	14.71900
ST-S-P64	0.622	12.30792	10.55900	25.34300	31.35900
ST-S-P128	0.633	24.20829	20.47900	47.61500	58.11100
ST-S-P256	0.632	48.48586	40.95900	93.69500	111.10300
ST-S-P384	0.623	73.77972	71.67900	118.27100	141.31100
SLOTAB-256	8.722	3.48352	3.35900	6.27100	9.66300
SF-OP-GET	12.828	2.34568	2.27100	4.15900	7.39100
SF-OP-MIX	10.680	2.83657	2.75100	4.83100	8.19100
SF-OP-SET	5.673	5.35596	4.38300	9.34300	13.82300
ATTR-A	7.617	3.99360	3.79100	7.74300	10.81500
ATTR-B	12.794	2.35465	2.27100	4.15900	7.32700
SF3-OP-GET	12.873	2.33946	2.25500	4.12700	7.23100
SF3-OP-MIX	10.687	2.83431	2.73500	4.89500	8.12700
SF3-OP-SET	5.635	5.39221	4.38300	9.27900	13.82300
SF3-P1-GET	0.567	0.20955	0.18300	0.58300	1.02300
SF3-P1-MIX	0.563	0.21108	0.18300	0.60700	1.07100
SF3-P1-SET	0.570	0.20966	0.18300	0.58300	1.07100
SF3-P8-GET	3.406	0.27209	0.21500	1.02300	1.62300
SF3-P8-MIX	3.355	0.27785	0.21500	1.09500	1.80700
SF3-P8-SET	2.788	0.34149	0.28700	1.23900	2.15900
SF3-P32-GET	7.521	0.48360	0.40700	1.59900	2.54300
SF3-P32-MIX	6.846	0.53458	0.44700	1.79900	2.91100
SF3-P32-SET	4.720	0.80194	0.71900	2.54300	4.03100
SF3-P64-GET	9.900	0.74317	0.70300	2.07900	4.67100
SF3-P64-MIX	8.451	0.87402	0.82300	2.63900	4.95900
SF3-P64-SET	5.515	1.37296	1.35900	2.01500	4.92700
SF3-P128-GET	12.102	1.22347	1.18300	2.51100	5.66300
SF3-P128-MIX	10.213	1.46654	1.44700	2.52700	5.69500
SF3-P128-SET	5.819	2.59988	2.59100	3.83900	6.84700
SF3-P256-GET	12.828	2.34767	2.27100	4.25500	7.39100
SF3-P256-MIX	10.659	2.84244	2.75100	4.86300	8.15900
SF3-P256-SET	5.636	5.39097	4.41500	9.27900	13.75900
SF3-P384-GET	12.741	3.56958	3.27900	6.39900	10.68700
SF3-P384-MIX	9.817	4.64904	4.38300	10.23900	13.75900
SF3-P384-SET	5.628	8.12598	7.99900	12.54300	16.89500
SF3-P512-GET	12.419	4.90228	4.41500	9.21500	14.78300
SF3-P512-MIX	7.261	8.41520	7.16700	23.93500	32.51100
SF3-P512-SET	5.612	10.88514	11.90300	15.67900	22.27100
SF3-E1x1024-GET	12.215	2.47142	2.38300	6.39900	9.02300
SF3-E1x1024-MIX	10.534	2.87471	2.83100	4.60700	8.44700
SF3-E1x1024-SET	5.251	5.70695	4.76700	6.33500	7.19900
SF3-E2x512-GET	13.475	2.23464	2.14300	5.53500	7.96700
SF3-E2x512-MIX	10.455	2.89295	2.71900	5.43900	9.15100
SF3-E2x512-SET	5.763	5.27196	5.66300	7.74300	12.09500
SF3-E4x256-GET	12.512	2.40910	2.31900	4.28700	7.48700
SF3-E4x256-MIX	10.491	2.88858	2.78300	4.99100	8.38300
SF3-E4x256-SET	5.596	5.43024	4.38300	9.34300	13.88700
SF3-E8x128-GET	11.587	2.60557	2.30300	4.99100	8.25500
SF3-E8x128-MIX	9.772	3.08792	2.78300	5.59900	9.08700
SF3-E8x128-SET	5.632	5.41224	5.72700	9.08700	13.63100
SF3-E16x64-GET	9.464	3.22059	2.89500	6.59100	10.36700
SF3-E16x64-MIX	8.295	3.66689	3.27900	7.10300	10.62300
SF3-E16x64-SET	5.235	5.84528	4.95900	11.00700	15.35900
SF3-E32x32-GET	8.525	3.57299	3.08700	7.29500	11.90300
SF3-E32x32-MIX	7.570	4.03071	3.48700	7.99900	12.03100
SF3-E32x32-SET	5.053	6.06708	5.15100	11.07100	15.48700
SF3-E64x16-GET	6.182	4.95290	4.67100	10.55900	15.35900
SF3-E64x16-MIX	5.757	5.31573	4.95900	11.19900	15.74300
SF3-E64x16-SET	4.349	7.05600	6.43100	14.27100	18.43100
SF3-E128x8-GET	4.500	6.81188	6.30300	15.80700	26.11100
SF3-E128x8-MIX	4.205	7.29182	6.75100	16.31900	24.06300
SF3-E128x8-SET	3.441	8.92109	8.44700	18.94300	27.00700
SF3-D8-GET	13.609	2.14251	1.99900	3.95100	7.29500
SF3-D8-MIX	11.188	2.64517	2.54300	4.57500	7.80700
SF3-D8-SET	6.029	5.01331	5.02300	7.48700	11.64700
SF3-D16-GET	13.529	2.18829	2.09500	3.99900	7.10300
SF3-D16-MIX	11.053	2.70521	2.59100	5.02300	8.03100
SF3-D16-SET	5.988	5.04858	5.05500	7.90300	12.15900
SF3-D24-GET	13.204	2.25287	2.17500	3.98300	7.16700
SF3-D24-MIX	10.915	2.74577	2.65500	4.73500	8.06300
SF3-D24-SET	5.974	5.06057	5.05500	7.64700	11.83900
SF3-D32-GET	13.346	2.23625	2.15900	3.98300	7.13500
SF3-D32-MIX	10.930	2.75378	2.65500	4.70300	8.06300
SF3-D32-SET	5.969	5.06531	5.08700	7.55100	11.90300
SF3-D48-GET	12.790	2.34854	2.25500	4.15900	7.35900
SF3-D48-MIX	10.671	2.83264	2.75100	4.92700	8.19100
SF3-D48-SET	5.725	5.28963	4.83100	10.11100	14.20700
SF3-D64-GET	12.492	2.41294	2.31900	4.38300	7.61500
SF3-D64-MIX	10.452	2.89948	2.78300	5.02300	8.38300
SF3-D64-SET	5.592	5.43436	4.38300	9.40700	14.14300
SF3-D96-GET	11.998	2.52347	2.41500	4.54300	7.87100
SF3-D96-MIX	10.104	3.00970	2.84700	5.40700	8.95900
SF3-D96-SET	5.468	5.57329	5.88700	8.38300	12.60700
SF3-D128-GET	11.469	2.64611	2.52700	4.83100	8.19100
SF3-D128-MIX	9.657	3.15263	2.95900	5.95100	9.47100
SF3-D128-SET	5.297	5.76399	5.08700	8.89500	13.37500
SF3-C1-GET	10.865	2.78840	2.59100	5.18300	8.70300
SF3-C1-MIX	9.333	3.25193	3.07100	5.91900	9.59900
SF3-C1-SET	5.629	5.39806	4.44700	9.40700	14.07900
SF3-C5-GET	12.466	2.41872	2.33500	4.28700	7.51900
SF3-C5-MIX	10.352	2.92814	2.84700	5.02300	8.31900
SF3-C5-SET	5.631	5.39638	4.41500	9.27900	13.82300
SF3-C6-GET	12.463	2.41808	2.33500	4.35100	7.48700
SF3-C6-MIX	10.384	2.91885	2.83100	5.05500	8.44700
SF3-C6-SET	5.598	5.42828	4.41500	9.40700	14.01500
SF3-C7-GET	12.350	2.44163	2.35100	4.35100	7.45500
SF3-C7-MIX	10.283	2.94780	2.86300	5.08700	8.31900
SF3-C7-SET	5.610	5.41665	4.44700	9.40700	13.95100
SF3-C8-GET	12.806	2.35187	2.27100	4.15900	7.19900
SF3-C8-MIX	10.610	2.85598	2.76700	4.99100	8.15900
SF3-C8-SET	5.650	5.37824	4.41500	9.27900	13.82300
SF3-C9-GET	12.731	2.36556	2.28700	4.12700	7.42300
SF3-C9-MIX	10.606	2.85717	2.76700	4.89500	8.15900
SF3-C9-SET	5.614	5.41290	4.41500	9.34300	14.07900
SF3-C10-GET	12.934	2.32805	2.25500	4.12700	7.19900
SF3-C10-MIX	10.664	2.84124	2.76700	4.86300	8.09500
SF3-C10-SET	5.639	5.38842	4.47900	9.27900	13.75900
SF3-C11-GET	12.676	2.37699	2.28700	4.25500	7.42300
SF3-C11-MIX	10.548	2.87286	2.78300	4.92700	8.31900
SF3-C11-SET	5.603	5.42311	4.41500	9.34300	13.95100
SF3-C12-GET	12.818	2.35039	2.27100	4.12700	7.19900
SF3-C12-MIX	10.619	2.85334	2.76700	4.86300	8.09500
SF3-C12-SET	5.654	5.37385	4.41500	9.21500	13.56700
SF3-C13-GET	12.813	2.35078	2.25500	4.51100	7.45500
SF3-C13-MIX	10.620	2.85317	2.76700	4.86300	8.06300
SF3-C13-SET	5.626	5.40086	4.54300	10.11100	13.82300
SF3-C14-GET	12.805	2.35124	2.27100	4.19100	7.42300
SF3-C14-MIX	10.690	2.83404	2.75100	4.86300	8.12700
SF3-C14-SET	5.667	5.36199	4.44700	9.21500	13.82300
SF3-C15-GET	12.721	2.36871	2.28700	4.15900	7.35900
SF3-C15-MIX	10.587	2.86215	2.78300	4.89500	8.25500
SF3-C15-SET	5.603	5.42297	4.38300	9.27900	13.75900
SF3-C16-GET	12.829	2.34786	2.27100	4.09500	7.26300
SF3-C16-MIX	10.667	2.84046	2.76700	4.86300	8.06300
SF3-C16-SET	5.647	5.38104	4.41500	9.27900	13.75900
SF3-Q1-GET	13.096	2.29755	2.22300	4.07900	7.19900
SF3-Q1-MIX	10.817	2.80025	2.73500	4.79900	7.90300
SF3-Q1-SET	5.773	5.26281	4.38300	9.08700	13.50300
SF3-Q2-GET	12.975	2.32038	2.23900	4.12700	7.13500
SF3-Q2-MIX	10.711	2.82780	2.73500	4.92700	8.03100
SF3-Q2-SET	5.731	5.30083	4.38300	9.02300	13.56700
SF3-Q4-GET	12.758	2.36108	2.28700	4.09500	7.26300
SF3-Q4-MIX	10.611	2.85562	2.75100	4.99100	8.25500
SF3-Q4-SET	5.630	5.39761	4.41500	9.27900	13.75900
SF3-Q16-GET	12.403	2.43121	2.35100	4.31900	7.58300
SF3-Q16-MIX	10.376	2.92075	2.81500	5.05500	8.44700
SF3-Q16-SET	5.650	5.37745	4.38300	9.40700	14.07900
SF3-O1-GET	9.698	3.12964	2.51100	5.50300	9.27900
SF3-O1-MIX	8.902	3.41083	3.35900	5.63100	9.21500
SF3-O1-SET	5.678	5.35116	4.31900	9.15100	13.95100
SF3-O2-GET	12.092	2.49511	2.43100	4.31900	7.39100
SF3-O2-MIX	10.090	3.00486	2.95900	5.02300	8.31900
SF3-O2-SET	5.756	5.27857	4.35100	9.02300	13.56700
SF3-O4-GET	12.806	2.35167	2.30300	4.12700	7.16700
SF3-O4-MIX	10.594	2.86035	2.84700	4.76700	7.90300
SF3-O4-SET	5.734	5.29883	4.67100	9.08700	13.43900
SF3-O8-GET	12.900	2.33411	2.25500	4.22300	7.42300
SF3-O8-MIX	10.654	2.84298	2.75100	4.86300	8.09500
SF3-O8-SET	5.689	5.34013	4.38300	9.15100	13.69500
SF3-O16-GET	12.757	2.36161	2.28700	4.25500	7.29500
SF3-O16-MIX	10.562	2.86858	2.76700	4.95900	8.31900
SF3-O16-SET	5.635	5.39228	4.38300	9.27900	13.75900
SF3-S16x16-GET	12.539	2.40440	2.35100	4.22300	7.64700
SF3-S16x16-MIX	10.670	2.83940	2.79900	5.02300	8.03100
SF3-S16x16-SET	5.626	5.40061	4.63900	9.72700	14.46300
SF3-S32x8-GET	12.288	2.45414	2.36700	4.38300	7.58300
SF3-S32x8-MIX	10.342	2.93084	2.83100	5.02300	8.51100
SF3-S32x8-SET	5.564	5.46100	4.35100	9.66300	14.52700
SF3-T1-GET	0.751	1.33473	1.26300	2.63900	3.26300
SF3-T1-MIX	0.706	1.42039	1.36700	2.62300	3.32700
SF3-T1-SET	0.540	1.85639	1.87100	3.29500	4.01500
SF3-T2-GET	1.539	1.30240	1.24700	2.49500	3.21500
SF3-T2-MIX	1.385	1.44594	1.38300	2.60700	3.31100
SF3-T2-SET	1.071	1.87519	1.91100	3.21500	3.91900
SF3-T4-GET	2.983	1.34296	1.27900	2.49500	3.18300
SF3-T4-MIX	2.744	1.46103	1.43900	2.51100	3.16700
SF3-T4-SET	1.899	2.11784	2.23900	3.48700	4.12700
SF3-T8-GET	5.475	1.46358	1.42300	2.47900	3.18300
SF3-T8-MIX	4.797	1.67319	1.66300	2.57500	3.29500
SF3-T8-SET	2.894	2.78679	2.97500	4.35100	5.27900
SF3-T12-GET	7.498	1.60486	1.54300	3.35900	5.88700
SF3-T12-MIX	6.450	1.87107	1.85500	2.81500	3.74300
SF3-T12-SET	3.485	3.47587	3.80700	5.43900	6.39900
SF3-T16-GET	9.360	1.71317	1.65500	4.38300	6.36700
SF3-T16-MIX	7.956	2.02493	1.99900	3.07100	5.05500
SF3-T16-SET	3.912	4.13597	4.67100	6.43100	8.51100
SF3-T24-GET	11.385	2.11406	2.03900	3.74300	7.03900
SF3-T24-MIX	9.563	2.53257	2.39900	4.28700	5.34300
SF3-T24-SET	4.973	4.88614	4.57500	8.09500	10.36700
SF3-T28-GET	12.583	2.23240	2.15900	3.83900	6.33500
SF3-T28-MIX	10.365	2.72720	2.63900	4.54300	6.14300
SF3-T28-SET	5.480	5.17403	4.35100	8.44700	11.32700
SF3-T30-GET	12.808	2.35202	2.27100	4.15900	7.32700
SF3-T30-MIX	10.599	2.85883	2.76700	4.89500	8.25500
SF3-T30-SET	5.622	5.40521	4.31900	9.40700	14.14300
SF3-OP-r2-GET	12.839	2.34598	2.27100	4.12700	7.35900
SF3-OP-r2-MIX	10.576	2.86485	2.76700	4.92700	8.25500
SF3-OP-r2-SET	5.666	5.36275	4.38300	9.27900	13.95100
SF3-C2-GET	11.732	2.57315	2.46300	4.67100	7.74300
SF3-C2-MIX	9.949	3.04789	2.94300	5.31100	8.70300
SF3-C2-SET	5.657	5.37113	4.38300	9.15100	13.50300
SF3-C3-GET	11.983	2.51878	2.41500	4.44700	7.71100
SF3-C3-MIX	10.058	3.01485	2.91100	5.21500	8.70300
SF3-C3-SET	5.586	5.44032	4.41500	9.34300	14.01500
SF3-C4-GET	12.350	2.44195	2.35100	4.28700	7.51900
SF3-C4-MIX	10.332	2.93378	2.84700	5.08700	8.38300
SF3-C4-SET	5.621	5.40576	4.41500	9.27900	13.88700
