ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576027.019380314,0,0,0,0,0,0,0,0,0,0,0,0,417668139,377234422,0,0,0,0,0,0,0,0,0
1785576028.040271401,0,0,0,0,0,0,0,0,0,0,0,0,417671205,377237445,0,0,0,0,0,0,0,0,0
1785576029.062579997,0,0,0,0,0,0,0,0,0,0,0,0,417674268,377240452,0,0,0,0,0,0,0,0,0
1785576030.085211301,0,0,0,0,0,0,0,0,0,0,0,0,417677333,377243503,0,0,0,0,0,0,0,0,0
1785576031.105845666,0,0,0,0,0,0,0,0,0,0,0,0,417680394,377246502,0,0,0,0,0,0,0,0,0
1785576032.125466193,0,0,0,0,0,0,0,0,0,0,0,0,417683451,377249501,0,0,0,0,0,0,0,0,0
1785576033.147661115,0,0,0,0,0,0,0,0,0,0,0,0,417686517,377252551,0,0,0,0,0,0,0,0,0
1785576034.169490019,0,0,0,0,0,0,0,0,0,0,0,0,417689580,377255553,0,0,0,0,0,0,0,0,0
1785576035.191306708,0,0,0,0,0,0,0,0,0,0,0,0,417692645,377258584,0,0,0,0,0,0,0,0,0
1785576036.213328435,0,0,0,0,0,0,0,0,0,0,0,0,417695710,377261633,0,0,0,0,0,0,0,0,0
1785576037.233527728,0,0,0,0,0,0,0,0,0,0,0,0,417698772,377264614,0,0,0,0,0,0,0,0,0
1785576038.253573384,0,551383,0,0,0,0,0,552067,35122,595500,0,0,417701605,377266334,0,0,0,552576,320649,1754900,0,23842,261778
1785576039.267911124,0,1000064,0,0,0,0,0,1000064,30800,507800,0,0,417704502,377268598,0,0,0,1000064,284354,1512000,0,22330,231222
1785576040.288973850,0,1000064,0,0,0,0,0,1000064,30800,507800,0,0,417707558,377271577,0,0,0,1000064,284354,1512000,0,22330,231222
1785576041.311702616,0,1000064,0,0,0,0,0,1000064,30800,507800,0,0,417710626,377274628,0,0,0,1000064,284354,1512000,0,22330,231222
1785576042.339476446,7991943,1000064,7991943,0,7994213,26632,71900,1000064,30800,507800,0,0,417713708,377275585,8006832,302747,1133200,1000064,284354,1512000,276554,22330,231222
1785576043.372537973,19853426,1000064,19853426,0,19855883,25848,66700,1000064,30800,507800,0,0,417716796,377275601,19869759,272540,779500,1000064,284354,1512000,246858,22330,231222
1785576044.397825645,32315517,1000064,32315517,0,32317362,25358,65000,1000064,30800,507800,0,0,417719881,377275605,32329813,259673,669000,1000064,284354,1512000,234394,22330,231222
1785576045.423990055,44763480,1000064,44763480,0,44765350,25121,64100,1000064,30800,507800,0,0,417722956,377275617,44779632,253248,625900,1000064,284354,1512000,228190,22330,231222
1785576046.449092592,56931936,1000064,56931936,0,56933167,25085,63900,1000064,30800,507800,0,0,417726029,377275625,56947588,251191,617300,1000064,284354,1512000,226158,22330,231222
1785576047.472434540,69397247,1000064,69397247,0,69399128,24973,63600,1000064,30800,507800,0,0,417729098,377275626,69414086,248734,605800,1000064,284354,1512000,223802,22330,231222
