cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
PT-B-P32	2026-08-05T20:38:10Z	2026-08-05T20:38:40Z	32	1:19	30	7.459	0.48743	0.41500	1.63900	2.62300
PT-B-P64	2026-08-05T20:39:04Z	2026-08-05T20:39:34Z	64	1:19	30	9.430	0.78106	0.73500	2.28700	4.79900
PT-B-P128	2026-08-05T20:39:58Z	2026-08-05T20:40:28Z	128	1:19	30	11.580	1.28263	1.27100	2.22300	5.47100
PT-B-P256	2026-08-05T20:40:52Z	2026-08-05T20:41:22Z	256	1:19	30	12.357	2.44057	2.43100	4.01500	7.23100
PT-B-P384	2026-08-05T20:41:46Z	2026-08-05T20:42:16Z	384	1:19	30	12.497	3.64091	3.58300	6.43100	10.62300
PT-A-P1	2026-08-05T20:42:40Z	2026-08-05T20:43:10Z	1	1:1	30	0.572	0.20816	0.18300	0.57500	0.91900
PT-A-P8	2026-08-05T20:43:34Z	2026-08-05T20:44:04Z	8	1:1	30	3.042	0.30866	0.23900	1.23900	2.14300
PT-A-P32	2026-08-05T20:44:28Z	2026-08-05T20:44:58Z	32	1:1	30	5.597	0.66429	0.57500	2.12700	3.42300
PT-A-P64	2026-08-05T20:45:22Z	2026-08-05T20:45:52Z	64	1:1	30	7.014	1.05428	0.99100	3.29500	5.05500
PT-A-P128	2026-08-05T20:46:16Z	2026-08-05T20:46:46Z	128	1:1	30	7.303	2.05966	2.03900	3.58300	6.27100
PT-A-P256	2026-08-05T20:47:13Z	2026-08-05T20:47:43Z	256	1:1	30	7.247	4.18758	4.04700	9.53500	12.15900
PT-A-P384	2026-08-05T20:48:11Z	2026-08-05T20:48:41Z	384	1:1	30	7.293	6.26157	6.11100	14.39900	17.91900
PT-C-Z256	2026-08-05T20:49:05Z	2026-08-05T20:49:35Z	256	0:1	30	13.712	2.19082	2.14300	4.01500	7.16700
PT-B-Z256	2026-08-05T20:49:59Z	2026-08-05T20:50:29Z	256	1:19	30	12.349	2.44149	2.43100	4.04700	7.00700
PT-A-Z256	2026-08-05T20:50:53Z	2026-08-05T20:51:23Z	256	1:1	30	7.244	4.18822	4.04700	9.40700	12.09500
ST-C-P1	2026-08-05T20:55:26Z	2026-08-05T20:55:56Z	1	0:1	30	0.612	0.19407	0.17500	0.49500	0.79100
ST-C-P8	2026-08-05T20:56:18Z	2026-08-05T20:56:48Z	8	0:1	30	4.072	0.22454	0.19100	0.65500	1.03100
